datetime,field1,field2,field3,field4,field5,field6
2017-03-28 08:29:06,0.55,26,52,28,77.701902025035,12.956887165483133
2017-03-28 08:33:19,0.54,27,52,28,77.701902025035,12.956887165483133
2017-03-28 08:38:22,0.53,25,51,28,77.7010277,12.9558867
2017-03-28 08:43:44,0.53,25,50,28,77.69985229999999,12.951584599999999
2017-03-28 08:48:57,0.53,24,49,28,77.6974348,12.9430574
2017-03-28 08:54:02,0.53,24,47,29,77.6912026,12.9353882
2017-03-28 08:59:34,0.48,23,47,29,77.6835887,12.9292046
2017-03-28 09:04:28,0.47,24,46,29,77.6780765,12.9265295
2017-03-28 09:08:56,0.46,21,45,29,77.6750421,12.924737
2017-03-28 09:14:07,0.44,20,44,29,77.6759816,12.9253556
2017-03-28 09:19:35,0.4,20,44,29,77.67775340000001,12.9267195
2017-03-28 09:24:45,0.44,10,44,29,77.6819974,12.9286025
2017-03-28 09:28:37,0.38,19,44,29,77.6901162,12.9347633
2017-03-28 09:33:20,0.38,19,43,29,77.6881316,12.9360979
2017-03-28 09:38:12,0.38,18,43,29,77.6888373,12.939214100000001
2017-03-28 09:44:43,0.38,17,42,29,77.6940079,12.9400314
2017-03-28 09:49:23,0.36,17,42,29,77.6951392,12.9391942
2017-03-28 09:53:56,0.35,15,42,29,77.695725,12.940579099999999
2017-03-28 09:59:01,0.35,16,40,29,77.6956848,12.9410673
2017-03-28 10:05:49,0.35,15,38,29,77.6956786,12.941067199999999
2017-03-28 13:15:05,0.49,17,11,34,77.69577109999999,12.941087
2017-03-28 13:19:21,0.49,17,11,34,77.6952854,12.9398224
2017-03-28 13:23:05,0.49,17,11,34,77.6948074,12.9394668
2017-03-28 13:30:33,0.5,15,11,34,77.69217859999999,12.9401382
2017-03-28 13:35:14,0.49,14,11,34,77.68953590000001,12.9394491
2017-03-28 13:39:43,0.5,14,11,34,77.6881719,12.936427199999999
2017-03-28 13:44:76,0.5,13,11,34,77.6916884,12.9362064
2017-03-28 13:48:02,0.5,14,11,34,77.69169790000001,12.9368921
2017-03-28 13:52:54,0.5,12,11,34,77.69169790000001,12.9368921
2017-03-28 13:55:30,0.5,12,11,34,77.69169790000001,12.9368921
2017-03-28 14:00:32,0.5,12,12,34,77.69169790000001,12.9368921
2017-03-28 14:04:40,0.5,13,12,34,77.6917715,12.9369229
2017-03-28 14:09:23,0.51,13,12,34,77.6908509,12.9307978
2017-03-28 14:13:56,0.51,12,12,34,77.6700629,12.9351212
2017-03-28 14:19:01,0.51,14,12,34,77.6862014,12.9228305
2017-03-28 14:23:23,0.48,15,10,35,77.65323599999999,12.923988699999999
2017-03-28 14:28:11,0.47,16,10,35,77.6512985,12.9243469
2017-03-28 14:33:32,0.47,17,10,35,77.64772690000001,12.9244754
2017-03-28 14:38:10,0.45,18,10,35,77.6309531,12.9242728
2017-03-28 14:42:28,0.43,18,8,35,77.6292854,12.9240004
2017-03-28 14:48:35,0.47,18,8,35,77.6273334,12.9247161
2017-03-28 14:53:44,0.5,18,8,35,77.6160666,12.929350300000001
2017-03-28 16:56:13,0.57,21,9,33,77.6137708,12.9314549
2017-03-28 17:01:04,0.55,21,9,33,77.6106705,12.9340629
2017-03-28 17:06:34,0.55,21,9,33,77.6098006,12.9345965
2017-03-28 17:11:15,0.55,21,9,33,77.6058618,12.9363496
2017-03-28 17:17:40,0.54,21,8,33,77.6057722,12.936521899999999
2017-03-28 17:23:03,0.54,21,8,33,77.5994997,12.9375092
2017-03-28 17:28:09,0.59,22,8,33,77.598146,12.9402638
2017-03-28 17:33:13,0.59,22,10,33,77.59712579999999,12.941949900000001
2017-03-28 17:38:25,0.6,22,11,33,77.5973357,12.9434963
2017-03-28 17:43:57,0.6,22,11,33,77.59692690000001,12.9446819
2017-03-28 17:48:15,0.6,22,11,33,77.59622490000001,12.9454531
2017-03-28 17:52:46,0.59,22,11,33,77.5928801,12.950733300000001
2017-03-28 17:56:51,0.59,23,12,33,77.5880811,12.9523588
2017-03-28 18:02:25,0.59,23,12,34,77.58256999999999,12.954836300000002
2017-03-28 18:06:46,0.59,23,12,34,77.58406670000001,12.9613152
2017-03-28 18:10:07,0.59,23,12,34,77.5814027,12.9634501
2017-03-28 18:15:36,0.59,23,12,34,77.5661365,12.9628486
2017-03-28 18:21:43,0.59,23,12,34,77.55936899999999,12.9612672
2017-03-28 18:26:11,0.6,25,12,34,77.55452659999999,12.9580992
2017-03-28 18:32:44,0.6,25,12,34,77.5509062,12.9570246
2017-03-28 18:37:25,0.58,25,12,34,77.5449995,12.9553032
