datetime,field1,field2,field3,field4,field5,field6
2017-04-08 10:00:00,0.16,25.39,51.02,33,77.66001370000029,12.88221510000004
2017-04-08 10:15:00,0.39,25.39,49.31,35,77.6619537000003,12.881419100000041
2017-04-08 10:30:00,0.22,25.39,47.67,31,77.6638937000003,12.880623100000042
2017-04-08 10:45:00,0.31,22.81,43.69,35,77.6658337000003,12.879827100000043
2017-04-08 11:00:00,0.2,18.56,42.58,34,77.66777370000031,12.879031100000043
2017-04-08 11:15:00,0.48,18.56,39.11,34,77.66971370000032,12.878235100000044
2017-04-08 11:30:00,0.49,18.56,36.58,30,77.67165370000032,12.877439100000045
2017-04-08 11:45:00,0.47,20.77,35.47,35,77.67359370000032,12.876643100000045
2017-04-08 12:00:00,0.46,24.41,34.03,34,77.67553370000033,12.875847100000046
2017-04-08 12:15:00,0.44,24.41,33.22,30,77.67747370000033,12.875051100000046
2017-04-08 12:30:00,0.43,24.41,31.7,35,77.67941370000034,12.874255100000047
2017-04-08 12:45:00,0.34,22.46,30.54,35,77.68135370000034,12.873459100000048
2017-04-08 13:00:00,0.29,19.25,27.64,32,77.68329370000035,12.872663100000048
2017-04-08 13:15:00,0.49,19.25,24.12,31,77.68523370000035,12.871867100000049
2017-04-08 13:30:00,0.51,19.25,22.63,33,77.68717370000036,12.87107110000005
2017-04-08 13:45:00,0.47,17.64,22.03,34,77.68911370000036,12.87027510000005
2017-04-08 14:00:00,0.42,15.0,20.83,34,77.69105370000037,12.869479100000051
2017-04-08 14:15:00,0.36,15.0,19.84,34,77.69299370000037,12.868683100000052
2017-04-08 14:30:00,0.26,15.0,19.36,31,77.69493370000038,12.867887100000052
2017-04-08 14:45:00,0.34,15.86,18.04,31,77.69687370000038,12.867091100000053
2017-04-08 15:00:00,0.25,17.28,17.23,30,77.69881370000039,12.866295100000054
2017-04-08 15:15:00,0.52,17.28,17.13,31,77.70075370000039,12.865499100000054
2017-04-08 15:30:00,0.56,17.28,16.62,30,77.7026937000004,12.864703100000055
2017-04-08 15:45:00,0.48,16.76,16.61,32,77.7046337000004,12.863907100000056
2017-04-08 16:00:00,0.53,15.89,16.64,34,77.7065737000004,12.863111100000056
2017-04-08 16:15:00,0.47,15.89,16.65,35,77.70851370000041,12.862315100000057
2017-04-08 16:30:00,0.37,15.89,16.8,35,77.71045370000041,12.861519100000057
2017-04-08 16:45:00,0.49,16.63,16.69,33,77.71239370000042,12.860723100000058
2017-04-08 17:00:00,0.4,17.86,17.07,31,77.71433370000042,12.859927100000059
2017-04-08 17:15:00,0.49,17.86,16.93,33,77.71627370000043,12.85913110000006
2017-04-08 17:30:00,0.66,17.86,17.52,30,77.71821370000043,12.85833510000006
2017-04-08 17:45:00,0.53,17.93,19.05,31,77.72015370000044,12.85753910000006
2017-04-08 18:00:00,0.43,18.05,19.11,27,77.72209370000044,12.856743100000061
2017-04-08 18:15:00,0.62,18.05,19.41,26,77.72403370000045,12.855947100000062
2017-04-08 18:30:00,0.7,18.05,20.63,23,77.72597370000045,12.855151100000063
2017-04-08 18:45:00,0.69,20.25,22.15,23,77.72791370000046,12.854355100000063
2017-04-08 19:00:00,0.92,23.87,22.32,24,77.72985370000046,12.853559100000064
2017-04-08 19:15:00,0.51,23.87,22.79,27,77.73179370000047,12.852763100000065
2017-04-08 19:30:00,0.55,23.87,23.31,27,77.73373370000047,12.851967100000065
2017-04-08 19:45:00,0.75,29.21,23.3,26,77.73567370000048,12.851171100000066
2017-04-08 20:00:00,0.77,38.01,23.5,26,77.73761370000048,12.850375100000067
2017-04-09 07:00:00,0.55,16.28,99.08,25,77.73955370000049,12.849579100000067
2017-04-09 07:15:00,0.63,16.28,99.08,26,77.74149370000049,12.848783100000068
2017-04-09 07:30:00,0.72,16.28,99.08,26,77.7434337000005,12.847987100000068
2017-04-09 07:45:00,0.73,16.8,99.08,23,77.7453737000005,12.84719110000007
2017-04-09 08:00:00,0.77,17.65,99.08,26,77.7473137000005,12.84639510000007
2017-04-09 08:15:00,0.44,17.65,99.08,27,77.74925370000051,12.84559910000007
2017-04-09 08:30:00,0.53,17.65,99.08,26,77.75119370000051,12.844803100000071
2017-04-09 08:45:00,0.52,18.31,99.08,26,77.75313370000052,12.844007100000072
2017-04-09 09:00:00,0.54,19.4,99.08,31,77.75507370000052,12.843211100000072
2017-04-09 09:45:00,0.75,21.93,88.54,30,77.75701370000053,12.842415100000073
2017-04-09 10:00:00,0.65,26.1,83.91,33,77.75895370000053,12.841619100000074
2017-04-09 10:15:00,0.43,26.1,75.43,31,77.76089370000054,12.840823100000074
