created_at,entry_id,field1,field2,field3,field4,field5,field6
2017-04-04 05:30:00 UTC,69,0.55,40.25,41.8,32,77.6930251,12.939978
2017-04-04 05:45:00 UTC,70,0.53,40.25,38.43,32,77.6953155,12.939862
2017-04-04 06:00:00 UTC,71,0.54,37.06,35.74,32,77.6976205,12.9439129
2017-04-04 06:15:00 UTC,72,0.59,29.61,31.33,33,77.70018,12.9528644
2017-04-04 06:30:00 UTC,73,0.57,29.61,30.84,35,77.7009083,12.955496499999999
2017-04-04 06:45:00 UTC,74,0.37,29.61,31.61,30,77.7014322,12.959194199999999
2017-04-04 07:00:00 UTC,75,0.33,33.86,30.13,34,77.7015217,12.9599933
2017-04-04 07:15:00 UTC,76,0.31,43.77,27.7,32,77.701902025035,12.956887165483133
2017-04-04 07:30:00 UTC,77,0.35,43.77,25.89,30,77.701902025035,12.956887165483133
2017-04-04 07:45:00 UTC,78,0.33,43.77,25.45,35,77.701902025035,12.956887165483133
2017-04-04 08:00:00 UTC,79,0.33,44.27,25.57,31,77.701902025035,12.956887165483133
2017-04-04 08:15:00 UTC,80,0.32,45.44,25.84,34,77.7010277,12.9558867
2017-04-04 08:30:00 UTC,81,0.31,45.44,23.93,31,77.69985229999999,12.951584599999999
2017-04-04 08:45:00 UTC,82,0.31,45.44,24.41,31,77.6974348,12.9430574
2017-04-04 09:00:00 UTC,83,0.32,43.83,24.19,34,77.6912026,12.9353882
2017-04-04 09:15:00 UTC,84,0.33,40.08,23.07,34,77.6835887,12.9292046
2017-04-04 09:30:00 UTC,85,0.34,40.08,22.38,35,77.6780765,12.9265295
2017-04-04 09:45:00 UTC,86,0.35,40.08,21.63,30,77.6750421,12.924737
2017-04-04 10:00:00 UTC,87,0.41,45.94,21.43,32,77.6759816,12.9253556
2017-04-04 10:15:00 UTC,88,0.44,58.9,21.85,30,77.67775340000001,12.9267195
2017-04-04 10:30:00 UTC,89,0.46,58.9,19.32,30,77.6819974,12.9286025
2017-04-04 10:45:00 UTC,90,0.42,58.9,19.43,32,77.6901162,12.9347633
2017-04-04 11:00:00 UTC,91,0.4,57.85,19.96,35,77.6881316,12.9360979
2017-04-04 11:15:00 UTC,92,0.37,55.54,20.84,34,77.6888373,12.939214100000001
2017-04-04 11:45:00 UTC,93,0.41,55.54,24.16,33,77.6940079,12.9400314
2017-04-04 12:00:00 UTC,94,0.39,61.17,24.53,33,77.6951392,12.9391942
2017-04-04 12:15:00 UTC,95,0.41,73.62,23.81,30,77.695725,12.940579099999999
2017-04-04 12:30:00 UTC,96,0.39,73.62,24.02,26,77.6956848,12.9410673
2017-04-04 12:45:00 UTC,97,0.36,73.62,23.02,25,77.6956786,12.941067199999999
2017-04-04 13:00:00 UTC,98,0.38,71.58,23.01,26,77.69577109999999,12.941087
2017-04-04 13:15:00 UTC,99,0.35,67.06,23.36,23,77.6952854,12.9398224
2017-04-04 13:30:00 UTC,100,0.37,67.06,23.68,25,77.6948074,12.9394668
2017-04-04 13:45:00 UTC,101,0.4,67.06,28.62,24,77.69217859999999,12.9401382
2017-04-04 14:00:00 UTC,102,0.47,67.45,32.65,26,77.68953590000001,12.9394491
2017-04-04 14:15:00 UTC,103,0.47,68.3,33.23,27,77.6881719,12.936427199999999
2017-04-04 14:30:00 UTC,104,0.45,68.3,36.28,24,77.6916884,12.9362064
2017-04-05 01:30:00 UTC,105,0.4,26.09,86.83,24,77.69169790000001,12.9368921
2017-04-05 01:45:00 UTC,106,0.44,26.09,86.03,24,77.69169790000001,12.9368921
2017-04-05 02:00:00 UTC,107,0.43,27.19,85.3,23,77.69169790000001,12.9368921
2017-04-05 02:15:00 UTC,108,0.44,29.17,83.72,23,77.69169790000001,12.9368921
2017-04-05 02:30:00 UTC,109,0.45,29.17,81.94,23,77.6917715,12.9369229
2017-04-05 02:45:00 UTC,110,0.45,29.17,81.52,27,77.6908509,12.9307978
2017-04-05 03:00:00 UTC,111,0.46,26.75,80.36,24,77.6700629,12.9351212
2017-04-05 03:15:00 UTC,112,0.43,22.37,78.46,26,77.6862014,12.9228305
2017-04-05 03:30:00 UTC,113,0.44,22.37,76.43,31,77.65323599999999,12.923988699999999
2017-04-05 03:45:00 UTC,114,0.39,22.37,74.52,35,77.6512985,12.9243469
2017-04-05 04:00:00 UTC,115,0.41,22.44,73.03,31,77.64772690000001,12.9244754
2017-04-05 04:15:00 UTC,116,0.41,22.57,71.41,35,77.6309531,12.9242728
2017-04-05 04:30:00 UTC,117,0.47,22.57,67.17,33,77.6292854,12.9240004
2017-04-05 04:45:00 UTC,118,0.43,22.57,65.27,32,77.6273334,12.9247161
2017-04-05 05:00:00 UTC,119,0.44,26.88,62.64,30,77.6160666,12.929350300000001
2017-04-05 05:15:00 UTC,120,0.45,34.68,59.56,33,77.6137708,12.9314549
2017-04-05 05:30:00 UTC,121,0.5,34.68,57.5,30,77.6106705,12.9340629
2017-04-05 05:45:00 UTC,122,0.55,34.68,52.93,34,77.6098006,12.9345965
2017-04-05 06:00:00 UTC,123,0.51,35.86,51.02,34,77.6058618,12.9363496
2017-04-05 06:15:00 UTC,124,0.54,37.99,49.22,34,77.6057722,12.936521899999999
2017-04-05 06:30:00 UTC,125,0.61,37.99,45.7,32,77.5994997,12.9375092
2017-04-05 06:45:00 UTC,126,0.37,37.99,43.46,34,77.598146,12.9402638
2017-04-05 07:00:00 UTC,127,0.37,42.6,41.23,33,77.59712579999999,12.941949900000001
2017-04-05 07:15:00 UTC,128,0.38,50.96,38.06,34,77.5973357,12.9434963
2017-04-05 07:30:00 UTC,129,0.39,50.96,34.67,32,77.59692690000001,12.9446819
2017-04-05 07:45:00 UTC,130,0.4,50.96,34.65,34,77.59622490000001,12.9454531
2017-04-05 08:00:00 UTC,131,0.41,47.2,33.01,31,77.5928801,12.950733300000001
2017-04-05 08:15:00 UTC,132,0.37,40.38,30.02,33,77.5880811,12.9523588
2017-04-05 08:30:00 UTC,133,0.37,40.38,27.81,32,77.58256999999999,12.954836300000002
2017-04-05 08:45:00 UTC,134,0.36,40.38,25.87,30,77.58406670000001,12.9613152
2017-04-05 09:00:00 UTC,135,0.34,35.54,25.04,33,77.5814027,12.9634501
2017-04-05 09:15:00 UTC,136,0.31,25.36,24.91,31,77.5661365,12.9628486
2017-04-05 09:30:00 UTC,137,0.34,25.36,25.19,31,77.55936899999999,12.9612672
2017-04-05 09:45:00 UTC,138,0.41,25.36,23.93,33,77.55452659999999,12.9580992
2017-04-05 10:00:00 UTC,139,0.4,25.51,23.37,32,77.5509062,12.9570246
2017-04-05 10:15:00 UTC,140,0.4,25.82,22.94,32,77.5449995,12.9553032
2017-04-05 10:30:00 UTC,141,0.38,25.82,31.87,31,77.54220500000001,12.9532787
2017-04-05 10:45:00 UTC,142,0.36,25.82,31.28,32,77.5413618,12.952620399999999
2017-04-05 11:00:00 UTC,143,0.35,58.63,33.15,31,77.536201,12.953660300000001
2017-04-05 11:15:00 UTC,144,0.39,127.65,32.13,31,77.5340167,12.9540038
2017-04-05 11:30:00 UTC,145,0.43,127.65,29.02,33,77.5282008,12.9552704
2017-04-05 11:45:00 UTC,146,0.48,127.65,28.41,33,77.5292677,12.9605478
2017-04-05 12:00:00 UTC,147,0.5,120.17,29.25,32,77.52901261840896,12.960662590435696
2017-04-05 12:15:00 UTC,148,0.45,104.43,34.16,30,77.52901261840896,12.960662590435696
2017-04-05 12:30:00 UTC,149,0.47,104.43,34.0,26,77.52901261840896,12.960662590435696
2017-04-05 12:45:00 UTC,150,0.43,104.43,34.36,23,77.52901261840896,12.960662590435696
2017-04-05 13:00:00 UTC,151,0.44,97.56,35.48,26,77.5288391,12.960763499999999
2017-04-05 13:15:00 UTC,152,0.44,83.12,36.92,25,77.5277894,12.9549119
2017-04-05 13:45:00 UTC,153,0.45,83.12,39.07,27,77.5273071,12.952544999999999
2017-04-05 14:00:00 UTC,154,0.48,84.02,39.03,26,77.5268696,12.949817999999999
